spp_who,spp_date,ID_new,source,external_trt,trt_type,reponse_var,site,spp_biomass,f_spp_name,f_nat_inv,f_#indiv,c_spp_name,c_nat_inv,c_#indiv,biomass_type,response_mean,response_transformation,response_mean_unit,response_var,response_var_unit,sample_size,nutrient_general,nutrient_compound,nutrient1_mean,nutrient2_mean,nutrient3_mean,nutrient_unit,nutrient_interval_days,nutrient_addition_duration,ext_treatment_mean,ext_treatment_unit,notes
initials of who entered the data,when data was entered (dd/mm/yyyy),unique ID for each reference; column used to merge to all other tables,where in the paper one extracted such information,"external treatment applied to the nutrient treatment (e.g, water, CO2, parasites)","alone, monoculture, mixture","define which response variable data is added; e.g., biomass, sla, root:shoot","site of study, if there are multiple",specify which species response data is being entered for ,focal plant genus and species,focal plant is native or invasive or na,focal plant number of individuals,competitior plant genus and species,competitior plant is native or invasive or na,"competitior plant number of individuals; if multiple comp spp, add # of indiv per spp separated by ;",AGB + BGB or AGB or BGB or unclear or NA [if response var other than biomass],response value of plant species at specific nutrient value,response value of plant species at specific nutrient value,response unit of plant species at specific nutrient value.,response variance (value),"response variance unit e.g., se, sd, ci","number of replicates e.g., no of pots, plots, transects","e.g, N; P; K etc [use ; to separate words]","e.g, NO3; KHPO4 [use ; to separate words]",mean value of nutrient added,mean value of nutrient added,mean value of nutrient added,mg or g ,"how frequently nutrient was added in days, 1 or 4 or 15 or 30 etc",total duration of nutrient addition (in days),mean value of external treatment,unit of mean value of external treatment,"general notes, as necessary [no commas!]"
AR,01/07/2024,2090,Figure. 2,NA,monoculture,biomass,NA,Centaurea maculosa,Centaurea maculosa,invasive,3,,native,3,both,3.044117647,NA,g,0.110294118,se,3,N,NO3,1,,,g,8,30,NA,NA,
AR,01/07/2024,2091,Figure. 2,NA,mixture,biomass,NA,Centaurea maculosa,Centaurea maculosa,invasive,3,Pseudoroegneria spicata,native,3,both,2.911764706,NA,g,0.110294118,se,3,N,NO3,2,,,g,8,30,NA,NA,
AR,01/07/2024,2092,Figure. 2,NA,mixture,biomass,NA,Centaurea maculosa,Centaurea maculosa,invasive,3,Pascopyrum smithii,native,3,both,2.647058824,NA,g,0.110294118,se,3,N,NO3,3,,,g,8,30,NA,NA,
AR,01/07/2024,2093,Figure. 2,NA,monoculture,biomass,NA,Centaurea maculosa,Centaurea maculosa,invasive,3,,native,3,both,4.014705882,NA,g,0.198529412,se,3,N,NO3,1,,,g,24,30,NA,NA,
AR,01/07/2024,2094,Figure. 2,NA,mixture,biomass,NA,Centaurea maculosa,Centaurea maculosa,invasive,3,Pseudoroegneria spicata,native,3,both,4.102941176,NA,g,0.198529412,se,3,N,NO3,2,,,g,24,30,NA,NA,
AR,01/07/2024,2095,Figure. 2,NA,mixture,biomass,NA,Centaurea maculosa,Centaurea maculosa,invasive,3,Pascopyrum smithii,native,3,both,3.308823529,NA,g,0.198529412,se,3,N,NO3,3,,,g,24,30,NA,NA,
AR,01/07/2024,2096,Figure. 2,NA,monoculture,biomass,NA,Centaurea maculosa,Centaurea maculosa,invasive,3,,native,3,both,-4.808823529,NA,g,0.286764706,se,3,N,NO3,1,,,g,72,30,NA,NA,
AR,01/07/2024,2097,Figure. 2,NA,mixture,biomass,NA,Centaurea maculosa,Centaurea maculosa,invasive,3,Pseudoroegneria spicata,native,3,both,5.691176471,NA,g,200,se,3,N,NO3,2,,,g,72,30,NA,NA,
AR,01/07/2024,2098,Figure. 2,NA,mixture,biomass,NA,Centaurea maculosa,Centaurea maculosa,invasive,3,Pascopyrum smithii,native,3,both,4.323529412,NA,g,0.286764706,se,3,N,NO3,3,,,g,72,30,NA,NA,
AR,01/07/2024,2099,Figure. 2,NA,monoculture,biomass,NA,Pseudoroegneria spicata,Centaurea maculosa,invasive,3,Pseudoroegneria spicata,native,3,both,1.5,NA,g,0.286764706,se,3,N,NO3,1,,,g,8,30,NA,NA,
AR,01/07/2024,2100,Figure. 2,NA,mixture,biomass,NA,Pseudoroegneria spicata,Centaurea maculosa,invasive,3,Pseudoroegneria spicata,native,3,both,1.102941176,NA,g,0.286764706,se,3,N,NO3,2,,,g,8,30,NA,NA,
AR,01/07/2024,2101,Figure. 2,NA,monoculture,biomass,NA,Pseudoroegneria spicata,Centaurea maculosa,invasive,3,Pseudoroegneria spicata,native,3,both,2.25,NA,g,0.022058824,se,3,N,NO3,3,,,g,24,30,NA,NA,
AR,01/07/2024,2102,Figure. 2,NA,mixture,biomass,NA,Pseudoroegneria spicata,Centaurea maculosa,invasive,3,Pseudoroegneria spicata,native,3,both,2.25,NA,g,0.022058824,se,3,N,NO3,1,,,g,24,30,NA,NA,
AR,01/07/2024,2103,Figure. 2,NA,monoculture,biomass,NA,Pseudoroegneria spicata,Centaurea maculosa,invasive,3,Pseudoroegneria spicata,native,3,both,1.5,NA,g,0.507352941,se,3,N,NO3,2,,,g,72,30,NA,NA,
AR,01/07/2024,2104,Figure. 2,NA,mixture,biomass,NA,Pseudoroegneria spicata,Centaurea maculosa,invasive,3,Pseudoroegneria spicata,native,3,both,2.911764706,NA,g,0.507352941,se,3,N,NO3,3,,,g,72,30,NA,NA,
AR,01/07/2024,2105,Figure. 2,NA,monoculture,biomass,NA,Pascopyrum smithii,Centaurea maculosa,invasive,3,Pascopyrum smithii,native,3,both,1.941176471,NA,g,0.132352941,se,3,N,NO3,1,,,g,8,30,NA,NA,
AR,01/07/2024,2106,Figure. 2,NA,mixture,biomass,NA,Pascopyrum smithii,Centaurea maculosa,invasive,3,Pascopyrum smithii,native,3,both,1.852941176,NA,g,0.132352941,se,3,N,NO3,2,,,g,8,30,NA,NA,
AR,01/07/2024,2107,Figure. 2,NA,monoculture,biomass,NA,Pascopyrum smithii,Centaurea maculosa,invasive,3,Pascopyrum smithii,native,3,both,2.338235294,NA,g,0.132352941,se,3,N,NO3,3,,,g,24,30,NA,NA,
AR,01/07/2024,2108,Figure. 2,NA,mixture,biomass,NA,Pascopyrum smithii,Centaurea maculosa,invasive,3,Pascopyrum smithii,native,3,both,2.161764706,NA,g,0.132352941,se,3,N,NO3,2,,,g,24,30,NA,NA,
